 Date and Time: Sun Aug 25 2024 17:39:21 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
 Date and Time: Sun Aug 25 2024 17:40:26 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 17:40:42 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 17:42:07 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 17:42:57 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 17:54:07 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 17:56:01 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
 Date and Time: Sun Aug 25 2024 18:01:47 GMT+0530 (India Standard Time),  Path: /user/66c49818f73fb291fa18665d, Method: GET 
 Date and Time: Sun Aug 25 2024 18:01:53 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
 Date and Time: Sun Aug 25 2024 18:02:10 GMT+0530 (India Standard Time),  Path: /user/66cb1f32587416fa453bdd14, Method: DELETE 
 Date and Time: Sun Aug 25 2024 18:02:15 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
 Date and Time: Sun Aug 25 2024 18:02:24 GMT+0530 (India Standard Time),  Path: /user/66cb1f32587416fa453bdd14, Method: DELETE 
 Date and Time: Sun Aug 25 2024 18:05:04 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 18:07:19 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 18:07:26 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
 Date and Time: Sun Aug 25 2024 18:08:09 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 18:08:28 GMT+0530 (India Standard Time),  Path: /user/, Method: POST 
 Date and Time: Sun Aug 25 2024 18:08:34 GMT+0530 (India Standard Time),  Path: /user/, Method: GET 
